Parameter Sweeps

Number of parameters swept: 32

Table of parameters swept 
public	int	hospital_capacity	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
public	int	recovery_h	1	1	1	1	2	2	2	2	3	3	3	3	5	5	5	5	1	1	1	1	2	2	2	2	3	3	3	3	5	5	5	5	
public	int	recovery_natural	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	

Parameter values for the class class epi.Environment
gridHeight  100
gridWidth  100
n  250
n_infected  1
oneAgentPerCell  false
p_spread  0.7
natural_disaster  false
hospital_capacity  10
waitTime  0.2
recovery_h  1
recovery_natural  5
searchRadius  4
infectedAgents  0
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  250
simNumber  10
fileDataName  results3.txt
folderDataName  data
dataSamplingInterval  1
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false
hospital_capacity	Value	recovery_h	Value	recovery_natural	Value	Step	Reps	N	susceptible	infected	recovered	numHospitalized	Step	Reps	N	susceptible	infected	recovered	numHospitalized	
hospital_capacity	10	recovery_h	1	recovery_natural	5	249.000	2500.000	249.994	0.914	0.018	0.068	0.000	249.000	2500.000	0.002	0.000	0.000	0.000	0.000
hospital_capacity	10	recovery_h	1	recovery_natural	8	249.000	2500.000	250.000	0.874	0.058	0.068	0.000	249.000	2500.000	0.000	0.000	0.000	NaN	0.000
hospital_capacity	10	recovery_h	1	recovery_natural	11	249.000	2500.000	250.000	0.837	0.098	0.065	0.000	249.000	2500.000	0.000	0.000	0.000	0.000	0.000
hospital_capacity	10	recovery_h	1	recovery_natural	14	249.000	2500.000	250.000	0.802	0.136	0.062	0.028	249.000	2500.000	0.000	0.000	0.000	0.000	0.000
hospital_capacity	10	recovery_h	2	recovery_natural	5	249.000	2500.000	250.000	0.770	0.170	0.060	0.040	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	10	recovery_h	2	recovery_natural	8	249.000	2500.000	250.000	0.737	0.207	0.056	0.040	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	10	recovery_h	2	recovery_natural	11	249.000	2500.000	250.000	0.702	0.244	0.054	0.040	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	10	recovery_h	2	recovery_natural	14	249.000	2500.000	250.000	0.680	0.268	0.052	0.040	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	10	recovery_h	3	recovery_natural	5	249.000	2500.000	250.000	0.654	0.296	0.049	0.040	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	10	recovery_h	3	recovery_natural	8	249.000	2500.000	250.000	0.628	0.324	0.048	0.040	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
